Player No.,Team,Game,Game_Type,FGM,FGA,3PTM,3PA,FTM,FTA,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_PCT,3P%,FT%,Efficiency
1,Bau Bau,Bau Bau vs Basketball Bandits,Round Robin,1.0,15.0,0.0,0.0,0.0,1.0,0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,4.0,1.0,0.06666666667,0.0,0.0,-10.5
12,Bau Bau,Bau Bau vs Basketball Bandits,Round Robin,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,3.0,6.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
3,Bau Bau,Bau Bau vs Basketball Bandits,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0
4,Bau Bau,Bau Bau vs Basketball Bandits,Round Robin,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
7,Bau Bau,Bau Bau vs Basketball Bandits,Round Robin,2.0,4.0,0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0
2,Basketball Bandits,Bau Bau vs Basketball Bandits,Round Robin,0.0,3.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,Basketball Bandits,Bau Bau vs Basketball Bandits,Round Robin,6.0,16.0,0.0,0.0,0.0,0.0,0,6.0,11.0,4.0,15.0,0.0,1.0,1.0,2.0,0.0,0.375,0.0,0.0,11.0
4,Basketball Bandits,Bau Bau vs Basketball Bandits,Round Robin,0.0,12.0,0.0,2.0,0.0,0.0,0,0.0,1.0,3.0,4.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,-3.0
1,Bau Bau,Swaggers vs Bau Bau,Round Robin,3.0,7.0,0.0,0.0,0.0,0.0,0,3.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4285714286,0.0,0.0,4.0
12,Bau Bau,Swaggers vs Bau Bau,Round Robin,3.0,6.0,0.0,0.0,0.0,0.0,0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0
3,Bau Bau,Swaggers vs Bau Bau,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
4,Bau Bau,Swaggers vs Bau Bau,Round Robin,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Bau Bau,Swaggers vs Bau Bau,Round Robin,1.0,4.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.0,-2.0
11,Swaggers,Swaggers vs Bau Bau,Round Robin,1.0,6.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1666666667,0.0,0.0,-5.0
8,Swaggers,Swaggers vs Bau Bau,Round Robin,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0
10,Swaggers,Swaggers vs Bau Bau,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Swaggers,Swaggers vs Bau Bau,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Oppahsnee,Oppahsnee vs Los Blancos,Round Robin,2.0,3.0,0.0,0.0,0.0,0.0,0,2.0,3.0,3.0,6.0,0.0,1.0,0.0,2.0,0.0,0.6666666667,0.0,0.0,6.0
2,Oppahsnee,Oppahsnee vs Los Blancos,Round Robin,2.0,9.0,0.0,0.0,0.0,1.0,0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.2222222222,0.0,0.0,-4.5
3,Oppahsnee,Oppahsnee vs Los Blancos,Round Robin,2.0,2.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
4,Oppahsnee,Oppahsnee vs Los Blancos,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Oppahsnee,Oppahsnee vs Los Blancos,Round Robin,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0
1,Los Blancos,Oppahsnee vs Los Blancos,Round Robin,3.0,19.0,2.0,10.0,0.0,0.0,0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.1578947368,0.2,0.0,-8.0
2,Los Blancos,Oppahsnee vs Los Blancos,Round Robin,1.0,3.0,0.0,1.0,0.0,0.0,0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.3333333333,0.0,0.0,2.0
3,Los Blancos,Oppahsnee vs Los Blancos,Round Robin,1.0,3.0,0.0,0.0,0.0,0.0,0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.3333333333,0.0,0.0,6.0
4,Los Blancos,Oppahsnee vs Los Blancos,Round Robin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Bau Bau,Bau Bau vs Los Blancos,Round Robin,0.0,5.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.0
12,Bau Bau,Bau Bau vs Los Blancos,Round Robin,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
7,Bau Bau,Bau Bau vs Los Blancos,Round Robin,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Bau Bau,Bau Bau vs Los Blancos,Round Robin,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4,Bau Bau,Bau Bau vs Los Blancos,Round Robin,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0
1,Los Blancos,Bau Bau vs Los Blancos,Round Robin,2.0,2.0,1.0,1.0,0.0,0.0,0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
