Player No.,Team,Player_Team_Label,Total_Games_Played,Total_MIN_Played,Avg_PTS_Per_Min,Avg_REB_Per_Min,Avg_AST_Per_Min,Avg_STL_Per_Min,Avg_BLK_Per_Min,Avg_AST_TOV_Ratio,Avg_TS_Percentage,Avg_REB_Percentage,Avg_Efficiency,Avg_WS_Simplified,Avg_VORP_Simplified
1,Basketball Bandits,Player 1 (Basketball Bandits),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,-0.1,-0.02
1,Bau Bau,Player 1 (Bau Bau),7,0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,5.790866975512905,10.0,4.428571428571429,0.4428571428571429,0.08857142857142858
1,DD,Player 1 (DD),6,0,0.0,0.0,0.0,0.0,0.0,0.75,21.437019515079836,10.0,10.0,1.0,0.2
1,Los Blancos,Player 1 (Los Blancos),8,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,10.0,8.875,0.8875,0.1775
1,Oppahsnee,Player 1 (Oppahsnee),6,0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,10.0,6.0,0.6,0.12
1,Uncs,Player 1 (Uncs),6,0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,10.0,15.833333333333334,1.5833333333333335,0.3166666666666667
2,Basketball Bandits,Player 2 (Basketball Bandits),6,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.0,3.8333333333333335,0.38333333333333336,0.07666666666666667
2,DD,Player 2 (DD),6,0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,10.0,8.166666666666666,0.8166666666666667,0.16333333333333333
2,Los Blancos,Player 2 (Los Blancos),8,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,10.0,5.25,0.525,0.10500000000000001
2,Oppahsnee,Player 2 (Oppahsnee),6,0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,20.559210526315788,10.0,6.833333333333333,0.6833333333333333,0.13666666666666666
2,Uncs,Player 2 (Uncs),6,0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,10.0,6.5,0.65,0.13
3,Bau Bau,Player 3 (Bau Bau),7,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,10.0,-0.14285714285714285,-0.014285714285714285,-0.002857142857142857
3,DD,Player 3 (DD),6,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,7.763975155279502,10.0,1.6666666666666667,0.16666666666666669,0.03333333333333334
3,Los Blancos,Player 3 (Los Blancos),8,0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,10.0,7.0,0.7,0.13999999999999999
3,Oppahsnee,Player 3 (Oppahsnee),6,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,10.0,3.8333333333333335,0.38333333333333336,0.07666666666666667
3,Uncs,Player 3 (Uncs),2,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,10.0,8.0,0.8,0.16
4,Basketball Bandits,Player 4 (Basketball Bandits),6,0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,10.0,6.166666666666667,0.6166666666666667,0.12333333333333334
4,Bau Bau,Player 4 (Bau Bau),7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.1428571428571428,0.11428571428571428,0.022857142857142857
4,Los Blancos,Player 4 (Los Blancos),8,0,0.0,0.0,0.0,0.0,0.0,0.6,12.119113573407203,10.0,4.875,0.4875,0.0975
4,Oppahsnee,Player 4 (Oppahsnee),6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.1,0.02
4,Swaggers,Player 4 (Swaggers),3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Uncs,Player 4 (Uncs),5,0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,10.0,6.6,0.6599999999999999,0.13199999999999998
5,Basketball Bandits,Player 5 (Basketball Bandits),6,0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,10.0,9.666666666666666,0.9666666666666666,0.1933333333333333
5,Oppahsnee,Player 5 (Oppahsnee),6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0,2.8333333333333335,0.2833333333333333,0.056666666666666664
5,Uncs,Player 5 (Uncs),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
7,Bau Bau,Player 7 (Bau Bau),7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.7142857142857142,0.17142857142857143,0.03428571428571429
8,Swaggers,Player 8 (Swaggers),5,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.0,2.0,0.2,0.04
10,Swaggers,Player 10 (Swaggers),5,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,10.0,3.4,0.33999999999999997,0.06799999999999999
11,Swaggers,Player 11 (Swaggers),5,0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,10.0,1.8,0.18,0.036
12,Bau Bau,Player 12 (Bau Bau),7,0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,9.312913907284768,10.0,5.857142857142857,0.5857142857142856,0.11714285714285713
67,DD,Player 67 (DD),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.2,0.04
