[2025-12-22T16:19:53.702910] Visitor: 4062ad39 | Session: 822436dc | Action: page_visit | User visited Basketball Analytics Dashboard
[2025-12-22T16:22:22.359745] Visitor: 4062ad39 | Session: 822436dc | Action: page_visit | User visited Basketball Analytics Dashboard
[2025-12-22T16:22:29.948480] Visitor: 4062ad39 | Session: 822436dc | Action: page_visit | User visited Basketball Analytics Dashboard
[2026-01-18T15:20:16.881355] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:19.910659] Visitor: edf62d67 | Session: ae0b5d6d | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:22.625256] Visitor: edf62d67 | Session: ae0b5d6d | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:26.259527] Visitor: edf62d67 | Session: ae0b5d6d | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:26.287647] Visitor: edf62d67 | Session: ae0b5d6d | Action: interaction | Accessed AI Assistant
[2026-01-18T15:20:37.991534] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:38.056291] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Viewed profile for Player 0 (Black)
[2026-01-18T15:20:39.686280] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:39.723838] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Accessed AI Assistant
[2026-01-18T15:20:45.033223] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:45.166125] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:45.203605] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Accessed AI Assistant
[2026-01-18T15:20:50.573593] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:50.633944] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Viewed analytics page
[2026-01-18T15:20:54.869450] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:54.953918] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Viewed analytics page
[2026-01-18T15:20:59.452925] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:20:59.565231] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Viewed analytics page
[2026-01-18T15:21:04.265433] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:21:13.709455] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:21:13.767612] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Viewed profile for Player 0 (Black)
[2026-01-18T15:24:03.654177] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:24:05.043240] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:24:05.258265] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Accessed AI Assistant
[2026-01-18T15:24:17.218748] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:24:17.268242] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Accessed AI Assistant
[2026-01-18T15:24:24.895387] Visitor: edf62d67 | Session: 084014fa | Action: page_visit | User visited Dashboard
[2026-01-18T15:24:24.956028] Visitor: edf62d67 | Session: 084014fa | Action: interaction | Accessed AI Assistant
[2026-01-18T15:26:38.572649] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:26:56.383058] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:26:56.445696] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 0 (Black)
[2026-01-18T15:26:59.695121] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:26:59.768779] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 0 (White)
[2026-01-18T15:27:05.952457] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:27:06.013878] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 1 (Beige)
[2026-01-18T15:27:23.762607] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:27:23.823064] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 20 (Blue)
[2026-01-18T15:28:03.440164] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:28:03.552663] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 0 (White)
[2026-01-18T15:28:05.241956] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:28:11.303783] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Viewed profile for Player 0 (White)
[2026-01-18T15:28:40.547985] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:28:40.590243] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:28:43.976973] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:28:44.041312] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:28:48.735890] Visitor: edf62d67 | Session: c2b12c90 | Action: page_visit | User visited Dashboard
[2026-01-18T15:28:49.058122] Visitor: edf62d67 | Session: c2b12c90 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:32:37.974697] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:42.458066] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:42.515480] Visitor: edf62d67 | Session: 5b770f5b | Action: interaction | Accessed AI Assistant
[2026-01-18T15:32:47.198390] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:47.266706] Visitor: edf62d67 | Session: 5b770f5b | Action: interaction | Viewed profile for Player 0 (Black)
[2026-01-18T15:32:49.740642] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:57.210518] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:57.249722] Visitor: edf62d67 | Session: 5b770f5b | Action: interaction | Accessed AI Assistant
[2026-01-18T15:32:59.148123] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:32:59.215504] Visitor: edf62d67 | Session: 5b770f5b | Action: interaction | Accessed AI Assistant
[2026-01-18T15:33:03.569091] Visitor: edf62d67 | Session: 5b770f5b | Action: page_visit | User visited Dashboard
[2026-01-18T15:33:10.009437] Visitor: edf62d67 | Session: 5b770f5b | Action: interaction | Accessed AI Assistant
[2026-01-18T15:36:22.880911] Visitor: edf62d67 | Session: ae0b5d6d | Action: page_visit | User visited Dashboard
[2026-01-18T15:36:27.075825] Visitor: edf62d67 | Session: 640f2717 | Action: page_visit | User visited Dashboard
[2026-01-18T15:36:33.876491] Visitor: edf62d67 | Session: 640f2717 | Action: page_visit | User visited Dashboard
[2026-01-18T15:36:33.917111] Visitor: edf62d67 | Session: 640f2717 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:36:36.651671] Visitor: edf62d67 | Session: 640f2717 | Action: page_visit | User visited Dashboard
[2026-01-18T15:36:36.715822] Visitor: edf62d67 | Session: 640f2717 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:36:41.672207] Visitor: edf62d67 | Session: 640f2717 | Action: page_visit | User visited Dashboard
[2026-01-18T15:36:45.880728] Visitor: edf62d67 | Session: 640f2717 | Action: interaction | Accessed AI Assistant
[2026-01-18T15:38:30.672318] Visitor: edf62d67 | Session: b48e0e02 | Action: page_visit | User visited Dashboard
[2026-01-18T15:38:35.892006] Visitor: edf62d67 | Session: b48e0e02 | Action: page_visit | User visited Dashboard
[2026-01-18T15:38:42.953800] Visitor: edf62d67 | Session: 00e969ac | Action: page_visit | User visited Dashboard
[2026-01-18T15:38:45.389106] Visitor: edf62d67 | Session: 00e969ac | Action: page_visit | User visited Dashboard
